MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,Gender
-212.52505,195.5048,-29.891094,44.33967,-19.161055,0.98419666,25.83442,-20.86668,10.821983,-2.4615366,-20.421787,-1.0876224,-9.508724,-11.436106,-7.6463017,-4.373804,-7.0252056,-5.536917,-0.9363285,-10.008791,139.0312368587515,0.04241943359375,1
-272.4545,194.23323,40.333324,10.234234,-6.350231,18.288475,10.298729,-8.787173,9.737703,1.4192015,-7.671573,-0.83464473,8.863955,5.3772926,-8.27519,-4.7803926,-4.450468,1.3184235,4.3565636,-4.8359137,345.6027118160457,0.040283203125,0
-213.48958,151.07051,-34.79874,27.105888,-5.0892186,-18.296715,1.0513453,-2.687675,8.487264,-8.906369,-8.362887,-1.3412409,-9.750323,-8.284514,-14.245596,-7.285856,-4.8246756,-10.323871,-1.4831085,-1.9142852,315.79788097331897,0.053802490234375,0
-218.15697,189.52148,-16.159834,43.620018,-16.43197,2.8038845,17.116873,-10.576243,4.3297834,-6.415279,3.469409,-2.2371385,-3.6148157,9.600489,-7.360877,0.41798496,5.6306,-3.3351822,-0.98212886,0.60651034,174.82270614900398,0.032196044921875,1
-300.08728,170.58644,21.100292,81.455055,-17.26785,12.108299,15.360844,-45.14524,-2.1510007,-11.4935055,-18.111198,-10.610987,-14.267435,17.744165,-2.3363538,-20.212875,10.820183,2.0699205,-11.2069845,0.8407928,75.79138675079226,0.050933837890625,1
-281.2255,191.6732,12.488708,18.102367,-5.4934626,-7.9948153,-3.3691223,-24.356213,-14.3801365,-8.137217,0.5243281,3.2985625,-7.302256,1.3746414,-1.560888,-8.48411,-1.9465301,-5.0089216,-5.343148,-5.815053,210.17791640531493,0.039459228515625,1
-258.52795,167.86618,22.954264,22.437973,-51.86119,14.954559,20.099327,-17.730831,-10.214149,-45.76941,-9.491296,-6.983194,-23.000624,6.131452,-29.314219,-20.884485,1.0751876,-23.048939,0.10233888,0.97136426,194.9298224912558,0.112884521484375,1
-215.64362,156.20518,-16.517359,46.587883,8.464348,-3.9480972,6.66718,-14.139978,-5.0790677,-17.28044,-9.442382,-3.1895351,-14.527969,1.5050393,-6.7220993,-10.103308,-2.0941885,-13.887902,-3.6346414,1.2602477,188.7642212562345,0.03460693359375,1
-180.30733,156.73108,-48.012234,19.78601,-59.00718,-19.360863,0.94279313,-35.645027,-1.5751457,-21.315952,-14.63808,-5.4934683,-16.4011,-0.27851534,-7.4836903,-10.551373,-9.165819,-8.895672,-8.854974,-3.898828,389.9790630889033,0.067352294921875,0
-201.07733,167.38097,-72.75688,40.306053,-8.401275,-38.600365,-5.098434,-16.467451,-9.085611,-3.796691,-2.4033537,-4.017085,1.271978,-2.00216,-9.443701,-1.0886905,-11.32062,-12.43099,-0.19490683,-4.208813,337.23148831967336,0.080810546875,0
-279.77765,126.03487,-10.284206,50.976067,0.51175857,-6.0247355,14.279997,-14.160302,-6.609698,-10.480195,-4.9611964,0.036729574,-15.8421755,-0.45342767,-1.1037278,-12.04742,-2.87461,-4.981305,-5.698664,-4.7972937,222.611438291926,0.058135986328125,1
